stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
ADC India Communications Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,50000.0,0.0,0.0
Aksh Optifibre Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,50000.0,0.0,0.0
Archies Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,50000.0,0.0,0.0
Asahi India Glass Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,202661.06442577028,152661.06442577028,3.053221288515406
BPL Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,50000.0,0.0,0.0
Balaji Telefilms Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,56129.22131964224,6129.221319642238,0.12258442639284484
Bharat Heavy Electricals Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,137857.36665452094,87857.36665452094,1.757147333090419
Birla Cable Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Bosch Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,229622.5064765562,179622.5064765562,3.592450129531124
Britannia Industries Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,60670.26514581082,10670.265145810823,0.2134053029162164
Cipla Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,70004.60896718965,20004.608967189648,0.40009217934379304
CyberTech Systems and Software Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,50000.0,0.0,0.0
Dr. Reddy's Laboratories Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,75295.8413961725,25295.841396172502,0.50591682792345
Gillette India Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,117116.78792735933,67116.78792735933,1.3423357585471867
HCL Technologies Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,77958.26559337165,27958.265593371645,0.5591653118674329
HDFC Bank Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,81535.6400374771,31535.640037477104,0.6307128007495422
Havells India Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,152936.03049486692,102936.03049486692,2.0587206098973385
Hindustan Unilever Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,55193.00214359638,5193.002143596379,0.10386004287192763
Hindustan Zinc Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,330704.3123011651,280704.3123011651,5.614086246023302
Infosys Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,55790.56496192862,5790.56496192862,0.11581129923857247
Jagsonpal Pharmaceuticals Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,85335.3609610344,35335.3609610344,0.706707219220688
LCC Infotech Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,50000.0,0.0,0.0
Lupin Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,274227.1647181827,224227.1647181827,4.484543294363654
Mphasis Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,92839.55270155569,42839.55270155569,0.8567910540311137
Pfizer Limited ,2002-12-23,2003-12-18,360,holding_period,50000.0,75955.47026255901,25955.470262559014,0.5191094052511802
Piramal Enterprises Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,161480.19962098438,111480.19962098438,2.2296039924196878
Procter & Gamble Hygiene and Health Care Limited,2002-12-23,2003-12-18,360,holding_period,50000.0,91414.44685853746,41414.446858537456,0.8282889371707491
