date,equity
2011-01-03,10000000.0
2011-01-04,10000000.0
2011-01-05,10000000.0
2011-01-06,10000000.0
2011-01-07,10000000.0
2011-01-10,10000000.0
2011-01-11,10000000.0
2011-01-12,10000000.0
2011-01-13,10000000.0
2011-01-14,10000000.0
2011-01-17,10000000.0
2011-01-18,10000000.0
2011-01-19,10000000.0
2011-01-20,10000000.0
2011-01-21,10000000.0
2011-01-24,10000000.0
2011-01-25,10000000.0
2011-01-26,10000000.0
2011-01-27,10000000.0
2011-01-28,10000000.0
2011-01-31,10000000.0
2011-02-01,10000000.0
2011-02-02,10000000.0
2011-02-03,10000000.0
2011-02-04,10000000.0
2011-02-07,10000000.0
2011-02-08,10000000.0
2011-02-09,10000000.0
2011-02-10,10000000.0
2011-02-11,10000000.0
2011-02-14,10000000.0
2011-02-15,10000000.0
2011-02-16,10000000.0
2011-02-17,10000000.0
2011-02-18,10000000.0
2011-02-21,10000000.0
2011-02-22,10000000.0
2011-02-23,10000000.0
2011-02-24,10000000.0
2011-02-25,10000000.0
2011-02-28,10000000.0
2011-03-01,10000000.0
2011-03-02,10000000.0
2011-03-03,10000000.0
2011-03-04,10000000.0
2011-03-07,10000000.0
2011-03-08,10000000.0
2011-03-09,10000000.0
2011-03-10,10000000.0
2011-03-11,10000000.0
2011-03-14,10000000.0
2011-03-15,10000000.0
2011-03-16,10000000.0
2011-03-17,10000000.0
2011-03-18,10000000.0
2011-03-21,10000000.0
2011-03-22,10000000.0
2011-03-23,10000000.0
2011-03-24,10000000.0
2011-03-25,10000000.0
2011-03-28,10000000.0
2011-03-29,10000000.0
2011-03-30,10000000.0
2011-03-31,10000000.0
2011-04-01,10000000.0
2011-04-04,10000000.0
2011-04-05,10182383.619752636
2011-04-06,10391428.907806424
2011-04-07,10596269.424509494
2011-04-08,10592252.187960928
2011-04-11,10605255.711657654
2011-04-12,10646078.645588197
2011-04-13,10686901.579518734
2011-04-14,10714228.143944954
2011-04-15,10741554.708371166
2011-04-18,10782797.014539534
2011-04-19,10858628.84502914
2011-04-20,10906209.35257098
2011-04-21,10962968.756401196
2011-04-25,11055143.58895361
2011-04-26,11098793.68398836
2011-04-27,11143472.907831443
2011-04-28,11149685.516700862
2011-04-29,11095915.327106297
2011-05-02,11063145.030608865
2011-05-03,10939385.222141169
2011-05-04,10935706.864962649
2011-05-05,10842221.156759152
2011-05-06,10859007.55058112
2011-05-09,10800684.30275979
2011-05-10,10842104.894196108
2011-05-11,10854774.0064534
2011-05-12,10832629.792682314
2011-05-13,10874727.119125037
2011-05-16,10830903.806392163
2011-05-17,10865813.675205154
2011-05-18,10828601.165686421
2011-05-19,10838439.329015953
2011-05-20,10859963.380115375
2011-05-23,10776881.196338909
2011-05-24,10796333.139223278
2011-05-25,10764776.44317949
2011-05-26,10773922.423760561
2011-05-27,10805598.555080593
2011-05-30,10902794.461952949
2011-05-31,11004413.914099535
2011-06-01,11085078.04476571
2011-06-02,11122624.712806728
2011-06-03,11107875.014340842
2011-06-06,11121853.902843574
2011-06-07,11204794.289603781
2011-06-08,11270351.102467805
2011-06-09,11302564.319858508
2011-06-10,11307515.86206438
2011-06-13,11311512.535649898
2011-06-14,11380532.221718285
2011-06-15,11442150.742791342
2011-06-16,11439246.4184208
2011-06-17,11360323.125488417
2011-06-20,11231474.517001312
2011-06-21,11185533.346902942
2011-06-22,11194800.527756806
2011-06-23,11175380.957610652
2011-06-24,11268035.644652188
2011-06-27,11279715.94436303
2011-06-28,11314029.607331183
2011-06-29,11376862.513011416
2011-06-30,11367166.546254894
2011-07-01,11420391.706470685
2011-07-04,11459294.651326999
2011-07-05,11439622.058317496
2011-07-06,11503264.339285832
2011-07-07,11571500.647685748
2011-07-08,11593486.030098375
2011-07-11,11608673.815495655
2011-07-12,11638288.894591354
2011-07-13,11756709.896583963
2011-07-14,11885867.42992894
2011-07-15,11929790.948795704
2011-07-18,11977982.067965249
2011-07-19,12063112.517685564
2011-07-20,12021995.455316087
2011-07-21,11999144.185554607
2011-07-22,11998391.940885084
2011-07-25,12079607.513588209
2011-07-26,12091847.78625827
2011-07-27,12111746.93855898
2011-07-28,12041691.409049515
2011-07-29,12005773.881187858
2011-08-01,11999310.574568702
2011-08-02,11947680.791581644
2011-08-03,11954059.773069263
2011-08-04,11923619.157130424
2011-08-05,11679693.906063477
2011-08-08,11489531.124903863
2011-08-09,11284500.772241771
2011-08-10,11355466.312315935
2011-08-11,11340135.053754026
2011-08-12,11264178.925159456
2011-08-15,11179140.297389327
2011-08-16,11094101.6696192
2011-08-17,10972194.562264604
2011-08-18,10846009.42145745
2011-08-19,10765253.4425383
2011-08-22,10821228.873286027
2011-08-23,10849565.1351278
2011-08-24,10776301.283168182
2011-08-25,10737527.426045593
2011-08-26,10656084.847975746
2011-08-29,10701469.858496454
2011-08-30,10732106.073094254
2011-08-31,10745210.967534432
2011-09-01,10758315.861974617
2011-09-02,10771420.7564148
2011-09-05,10808292.933561843
2011-09-06,10840771.072632944
2011-09-07,10885368.20989436
2011-09-08,10913729.74553791
2011-09-09,10917493.636056505
2011-09-12,10894055.74726719
2011-09-13,10886745.372668954
2011-09-14,10929721.944950843
2011-09-15,10880552.531439725
2011-09-16,10815686.171342056
2011-09-19,10830270.183033282
2011-09-20,10810134.769764274
2011-09-21,10817589.213908976
2011-09-22,10668399.717128556
2011-09-23,10559208.244815638
2011-09-26,10452734.111085841
2011-09-27,10567026.488989292
2011-09-28,10465564.631409695
2011-09-29,10426679.29198784
2011-09-30,10318011.371356232
2011-10-03,10231634.68883671
2011-10-04,10180645.762197195
2011-10-05,10167217.922087736
2011-10-06,10176624.6557083
2011-10-07,10186031.389328863
2011-10-10,10180308.014248863
2011-10-11,10230646.696923828
2011-10-12,10253170.21010471
2011-10-13,10271137.164733175
2011-10-14,10264864.60365245
2011-10-17,10244595.606846863
2011-10-18,10245765.877488922
2011-10-19,10287398.657597266
2011-10-20,10294254.66862828
2011-10-21,10280289.676038468
2011-10-24,10225103.666009065
2011-10-25,10110343.408299943
2011-10-26,10178863.956555182
2011-10-27,10217937.673417192
2011-10-28,10257011.390279202
2011-10-31,10319885.530956727
2011-11-01,10326831.891958846
2011-11-02,10257498.597086245
2011-11-03,10261676.064939594
2011-11-04,10285868.53008941
2011-11-07,10271909.665094255
2011-11-08,10257950.800099107
2011-11-09,10174022.539996445
2011-11-10,10161712.326345019
2011-11-11,10149402.112693593
2011-11-14,10035336.609963661
2011-11-15,9888448.916477198
2011-11-16,9760188.136931958
2011-11-17,9668487.314661687
2011-11-18,9540103.40918597
2011-11-21,9439414.22766536
2011-11-22,9417026.574016696
2011-11-23,9333474.70059411
2011-11-24,9316558.835057946
2011-11-25,9359013.727279656
2011-11-28,9448263.874486974
2011-11-29,9473362.673656728
2011-11-30,9448792.865150977
2011-12-01,9454817.211134877
2011-12-02,9395844.699987408
2011-12-05,9446861.513751226
2011-12-06,9440547.173045602
2011-12-07,9434232.832339976
2011-12-08,9400693.181089919
2011-12-09,9407551.222820755
2011-12-12,9328758.470540812
2011-12-13,9293411.047332034
2011-12-14,9265956.49793063
2011-12-15,9232523.61443666
2011-12-16,9176573.145641329
2011-12-19,9108740.487965662
2011-12-20,9088239.923780039
2011-12-21,9107217.94146084
2011-12-22,9130376.736005295
2011-12-23,9146936.76184718
2011-12-26,9213165.762926454
2011-12-27,9238656.388017038
2011-12-28,9233338.752653208
2011-12-29,9218319.116405403
2011-12-30,9223685.688858533
2012-01-02,9221951.514376448
2012-01-03,9376590.071230622
2012-01-04,9401008.57199166
2012-01-05,9450896.171316564
2012-01-06,9480564.461592155
2012-01-09,9633665.735121934
2012-01-10,9706446.827904057
2012-01-11,9775235.81677751
2012-01-12,9773381.082312465
2012-01-13,9898900.131878683
2012-01-16,9897265.295608427
2012-01-17,9918810.946064515
2012-01-18,9964747.289298655
2012-01-19,10033330.432395535
2012-01-20,10082551.411814477
2012-01-23,10098594.216099467
2012-01-24,10117794.32755744
2012-01-25,10161128.83725152
2012-01-26,10158710.729472503
2012-01-27,10156292.621693483
2012-01-30,10119091.533076776
2012-01-31,10108485.76586501
2012-02-01,10175240.717487138
2012-02-02,10183959.259486755
2012-02-03,10238935.681622496
2012-02-06,10237979.251800591
2012-02-07,10150541.813186135
2012-02-08,10175030.828024885
2012-02-09,10243287.154490659
2012-02-10,10250329.626777278
2012-02-13,10310092.794065358
2012-02-14,10325725.901545946
2012-02-15,10362459.150883261
2012-02-16,10375726.495867284
2012-02-17,10409094.155048585
2012-02-20,10405878.918099962
2012-02-21,10402663.68115134
2012-02-22,10299936.521276142
2012-02-23,10241397.271240652
2012-02-24,10190389.225969108
2012-02-27,10181448.333093429
2012-02-28,10284587.783219047
2012-02-29,10326838.23774203
2012-03-01,10335061.597673742
2012-03-02,10315862.013028432
2012-03-05,10362091.666885357
2012-03-06,10400641.120546931
2012-03-07,10394666.683634236
2012-03-08,10408784.782856304
2012-03-09,10422902.882078368
2012-03-12,10525505.756402101
2012-03-13,10563553.439155571
2012-03-14,10582617.51583776
2012-03-15,10545920.361208897
2012-03-16,10648367.43128302
2012-03-19,10570238.148798898
2012-03-20,10568946.572497152
2012-03-21,10590478.0724351
2012-03-22,10457288.117507754
2012-03-23,10440157.024675176
2012-03-26,10377938.053390577
2012-03-27,10293839.551655784
2012-03-28,10231775.517350964
2012-03-29,10179813.31355498
2012-03-30,10208145.925785683
2012-04-02,10277317.66244396
2012-04-03,10297487.080750119
2012-04-04,10293487.55496952
2012-04-05,10273414.562957345
2012-04-09,10253341.570945172
2012-04-10,10229903.674465166
2012-04-11,10219003.59047164
2012-04-12,10253321.050532186
2012-04-13,10285172.086919963
2012-04-16,10310724.386589548
2012-04-17,10322574.500803987
2012-04-18,10468147.58369807
2012-04-19,10499669.22588411
2012-04-20,10538293.399263438
2012-04-23,10544068.739104707
2012-04-24,10539916.093823032
2012-04-25,10575697.046871923
2012-04-26,10517912.854954273
2012-04-27,10510932.726717176
2012-04-30,10559654.332294438
2012-05-01,10585633.459413156
2012-05-02,10611612.586531866
2012-05-03,10599206.869249195
2012-05-04,10494654.062208083
2012-05-07,10465244.170785734
2012-05-08,10439529.880719475
2012-05-09,10341122.573866703
2012-05-10,10348188.866108363
2012-05-11,10314710.299486173
2012-05-14,10307661.631658332
2012-05-15,10319597.101366052
2012-05-16,10270589.111355297
2012-05-17,10306529.79154583
2012-05-18,10278506.342790037
2012-05-21,10344927.852516001
2012-05-22,10280560.165221283
2012-05-23,10228566.278333124
2012-05-24,10291132.340756452
2012-05-25,10348037.082305087
2012-05-28,10352194.779942054
2012-05-29,10368472.486879298
2012-05-30,10338898.903797781
2012-05-31,10322175.97845435
2012-06-01,10321340.678165294
2012-06-04,10302845.110184958
2012-06-05,10305166.48804149
2012-06-06,10362348.441416625
2012-06-07,10628176.795418924
2012-06-08,10662717.25426282
2012-06-11,10617668.82134522
2012-06-12,10584256.360285377
2012-06-13,10602013.031624071
2012-06-14,10549621.440753153
2012-06-15,10516828.599971617
2012-06-18,10472137.320237124
2012-06-19,10494340.500160264
2012-06-20,10511995.08245576
2012-06-21,10487726.940395897
2012-06-22,10461789.070506988
2012-06-25,10514398.050997913
2012-06-26,10572220.21874412
2012-06-27,10561155.315670395
2012-06-28,10505290.513716258
2012-06-29,10532337.779594027
2012-07-02,10541362.771445092
2012-07-03,10570217.512180354
2012-07-04,10685772.718422683
2012-07-05,10748545.30407436
2012-07-06,10856426.174081767
2012-07-09,10861339.204672672
2012-07-10,10879781.521575093
2012-07-11,10816440.160585945
2012-07-12,10856136.739806324
2012-07-13,10884516.30615641
2012-07-16,10846692.165065821
2012-07-17,10796321.419743128
2012-07-18,11002362.1041077
2012-07-19,10969510.41680213
2012-07-20,11040379.466192897
2012-07-23,11101249.986962687
2012-07-24,11048337.236326428
2012-07-25,11037398.679790711
2012-07-26,10961950.100721577
2012-07-27,10922481.499242622
2012-07-30,10958450.989772597
2012-07-31,10960273.836382357
2012-08-01,10946999.82496807
2012-08-02,11007302.363202162
2012-08-03,11002823.123539757
2012-08-06,11051725.002298988
2012-08-07,11084659.461443119
2012-08-08,11063515.952088512
2012-08-09,11043111.43525253
2012-08-10,11006833.504155371
2012-08-13,10940015.913303278
2012-08-14,10904967.761197446
2012-08-15,10898649.483046385
2012-08-16,10892331.204895321
2012-08-17,10895721.52226684
2012-08-20,10967074.898848148
2012-08-21,11038428.27542945
2012-08-22,11053436.01224391
2012-08-23,11022293.996128647
2012-08-24,10944157.88552119
2012-08-27,10913995.70560871
2012-08-28,10876409.369294923
2012-08-29,10812241.13356307
2012-08-30,10862705.9535502
2012-08-31,10824821.5886538
2012-09-03,10879191.329121199
2012-09-04,10897938.094449978
2012-09-05,10884729.496303478
2012-09-06,10959165.64054186
2012-09-07,10955808.26483
2012-09-10,11077979.965794247
2012-09-11,11104762.498359747
2012-09-12,11165185.36024936
2012-09-13,11111711.060671818
2012-09-14,11106668.788509509
2012-09-17,11094458.698381899
2012-09-18,11129842.701422809
2012-09-19,11115879.018608807
2012-09-20,11101915.335794816
2012-09-21,11146282.768876076
2012-09-24,11142777.418250196
2012-09-25,11151927.381258288
2012-09-26,11220115.182692094
2012-09-27,11236729.972693972
2012-09-28,11260318.143239612
2012-10-01,11312155.32019576
2012-10-02,11315043.170363916
2012-10-03,11317931.02053208
2012-10-04,11350258.412104243
2012-10-05,11328884.333002707
2012-10-08,11281261.212614512
2012-10-09,11324791.183930317
2012-10-10,11270752.716509113
2012-10-11,11332325.707371458
2012-10-12,11350685.358057708
2012-10-15,11382705.2665138
2012-10-16,11355721.427292556
2012-10-17,11383992.3610752
2012-10-18,11462421.070940685
2012-10-19,11441333.57333543
2012-10-22,11474606.058699029
2012-10-23,11455729.503391704
2012-10-24,11448036.00384841
2012-10-25,11440342.504305108
2012-10-26,11321607.522901528
2012-10-29,11309235.026328526
2012-10-30,11265590.985025
2012-10-31,11275738.439987263
2012-11-01,11283814.22437057
2012-11-02,11330915.52054908
2012-11-05,11360636.391428465
2012-11-06,11529448.442521531
2012-11-07,11560794.176159672
2012-11-08,11594040.388192922
2012-11-09,11586541.607045133
2012-11-12,11601354.524188083
2012-11-13,11722674.485892376
2012-11-14,11731654.734123778
2012-11-15,11740634.982355168
2012-11-16,11714414.523640947
2012-11-19,11633521.969414415
2012-11-20,11569492.001580726
2012-11-21,11517360.564108396
2012-11-22,11475139.21568051
2012-11-23,11459507.911470821
2012-11-26,11550260.825674234
2012-11-27,11608705.90241925
2012-11-28,11641558.34404573
2012-11-29,11674410.785672208
2012-11-30,11728669.414534617
2012-12-03,11719510.94413372
2012-12-04,11745319.953151584
2012-12-05,11775135.682222748
2012-12-06,11846276.345084578
2012-12-07,11818183.775722468
2012-12-10,11817256.407458508
2012-12-11,11783794.228811018
2012-12-12,11832335.824889103
2012-12-13,11808236.857379047
2012-12-14,11826516.792384325
