stock,entry_date,exit_date,holding_days,invested,exit_value,pnl,return_pct
20 Microns Limited ,2013-12-18,2021-01-01,2571,100000.0,140617.50629346972,40617.50629346972,0.4061750629346972
3B Blackbio Dx Limited,2013-12-18,2021-01-01,2571,100000.0,4378901.352688882,4278901.352688882,42.789013526888816
3M India Limited,2013-12-18,2021-01-01,2571,100000.0,606571.8868519409,506571.8868519409,5.065718868519409
3P Land Holdings Limited,2013-12-18,2021-01-01,2571,100000.0,173582.08955223882,73582.08955223882,0.7358208955223882
63 moons technologies limited,2013-12-18,2021-01-01,2571,100000.0,49520.42051028507,-50479.57948971493,-0.5047957948971493
A. K. Capital Services Limited,2013-12-18,2021-01-01,2571,100000.0,281623.9316239316,181623.93162393162,1.8162393162393164
A2Z Infra Engineering Limited,2013-12-18,2021-01-01,2571,100000.0,165154.98122762595,65154.98122762595,0.6515498122762595
ABC India Limited,2013-12-18,2021-01-01,2571,100000.0,63635.658162770385,-36364.341837229615,-0.3636434183722962
ABM Knowledgeware Limited,2013-12-18,2021-01-01,2571,100000.0,726274.770420493,626274.770420493,6.26274770420493
ACI Infocom Limited,2013-12-18,2021-01-01,2571,100000.0,13257.694314032342,-86742.30568596766,-0.8674230568596766
ADF Foods Limited,2013-12-18,2021-01-01,2571,100000.0,1145774.5098039214,1045774.5098039214,10.457745098039215
AGI Greenpac Limited,2013-12-18,2021-01-01,2571,100000.0,122561.719384897,22561.719384897006,0.22561719384897017
AION-TECH Solutions Limited,2013-12-18,2021-01-01,2571,100000.0,367093.51305812976,267093.51305812976,2.6709351305812974
AJR Infra and Tolling Limited ,2013-12-18,2021-01-01,2571,100000.0,13244.853833037427,-86755.14616696257,-0.8675514616696257
AMJ Land Holdings Limited,2013-12-18,2021-01-01,2571,100000.0,223749.99999999997,123749.99999999997,1.2374999999999998
APAR Industries Limited ,2013-12-18,2021-01-01,2571,100000.0,268379.24027769937,168379.24027769937,1.6837924027769935
APIS India Limited,2013-12-18,2021-01-01,2571,100000.0,155673.26884692154,55673.268846921535,0.5567326884692154
ARSS Infrastructure Projects Limited,2013-12-18,2021-01-01,2571,100000.0,220672.01091591336,120672.01091591336,1.2067201091591335
ASM Technologies Limited,2013-12-18,2021-01-01,2571,100000.0,285069.44444444444,185069.44444444444,1.8506944444444442
AVT Natural Products Limited,2013-12-18,2021-01-01,2571,100000.0,270923.58040420694,170923.58040420694,1.7092358040420694
AXISCADES Technologies Limited,2013-12-18,2021-01-01,2571,100000.0,225176.2741217219,125176.27412172189,1.251762741217219
AYM Syntex Limited,2013-12-18,2021-01-01,2571,100000.0,746131.0186215595,646131.0186215595,6.461310186215595
Aastamangalam Finance Limited,2013-12-18,2021-01-01,2571,100000.0,152133.71266002845,52133.712660028454,0.5213371266002846
Ace Software Exports Limited,2013-12-18,2021-01-01,2571,100000.0,255616.6265888011,155616.6265888011,1.5561662658880109
Acrow India Limited,2013-12-18,2021-01-01,2571,100000.0,245974.36740059152,145974.36740059152,1.459743674005915
Action Construction Equipment Limited ,2013-12-18,2021-01-01,2571,100000.0,1309862.947240752,1209862.947240752,12.09862947240752
Adani Enterprises Limited,2013-12-18,2021-01-01,2571,100000.0,189920.6785448319,89920.6785448319,0.899206785448319
Adani Power Limited ,2013-12-18,2021-01-01,2571,100000.0,178648.63926283063,78648.63926283063,0.7864863926283063
